date, cash, etc
09/24/2012,12901,76714
08/11/2013,19472,69265
08/11/2012,20525,73134
03/30/2013,17756,69086
03/30/2012,15971,84557
02/25/2013,12115,75166
04/09/2013,12136,79902
09/06/2012,13646,80663
09/27/2012,13158,82278
05/13/2012,22275,75425
05/13/2013,12797,78566
10/27/2012,19223,74390
02/26/2013,11659,76720
01/18/2013,14151,81274
07/15/2012,20572,65839
07/15/2013,13848,75234
08/05/2012,20290,65466
03/25/2012,17889,62798
02/09/2013,7031,28984
01/13/2013,15633,60020
05/24/2012,14214,84815
05/24/2013,15546,88328
12/02/2012,17084,64166
09/10/2012,13465,76231
01/09/2013,12111,77873
08/10/2012,16945,82022
07/05/2012,16514,78135
12/01/2012,18325,72044
02/07/2013,12615,82133
01/14/2013,12252,72586
02/06/2013,11736,76834
05/21/2013,12359,80387
05/21/2012,13023,73163
06/17/2013,13681,79817
06/17/2012,21910,74166
04/11/2013,12302,80973
04/11/2012,14709,77190
08/28/2012,14396,78775
01/31/2013,11988,78580
01/16/2013,11516,73978
12/24/2012,17990,78504
05/22/2012,12980,77742
05/22/2013,12782,82882
08/02/2013,15906,84073
02/23/2013,15834,64069
05/02/2013,12260,81816
12/25/2012,20250,69762
07/06/2012,17515,80182
07/06/2013,18951,67327
06/29/2012,17355,85936
06/29/2013,19830,76851
04/24/2013,11742,80438
04/24/2012,12897,77793
10/10/2012,12583,78583
03/07/2013,10546,73095
03/07/2012,13113,78296
02/14/2013,12576,79360
06/08/2013,17553,73260
06/08/2012,16235,86341
12/04/2012,13064,79029
07/01/2012,21187,66650
09/02/2012,20999,65456
06/25/2012,15427,77969
06/25/2013,13478,80587
07/30/2013,13556,79590
06/03/2012,19919,68130
06/03/2013,12400,75324
12/15/2012,18910,74835
07/03/2013,15860,85118
07/03/2012,16999,81387
10/06/2012,19518,76073
06/20/2013,14023,88265
06/20/2012,14841,83831
03/04/2012,17328,61383
03/04/2013,12123,74769
03/27/2013,12875,75707
03/27/2012,12839,77573
06/04/2013,12489,80439
06/04/2012,13719,75277
04/14/2012,20228,71642
04/14/2013,17163,66624
10/02/2012,11867,72766
03/25/2013,11829,69751
01/29/2013,11558,76071
08/05/2013,14295,76993
10/05/2012,15912,87416
05/12/2013,19092,76189
05/12/2012,21559,78624
