CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINECODE,INSPDATE,ACTION,VIOLCODE,SCORE,CURRENTGRADE,GRADEDATE,RECORDDATE
41163073,WAJIMA,1,134,EAST   61 STREET                                  ,10065,2128139065,49,06/13/13 0:00,B,,0,A,06/13/13 0:00,01:13.8
40370935,TOKUBEI 86,1,314,EAST   86 STREET,10028,2126285334,49,08/15/13 0:00,D,02G,13,A,08/15/13 0:00,01:06.2
40374415,OMEN JAPANESE CUISINE,1,113,THOMPSON STREET,10012,2129258923,49,04/16/13 0:00,D,06D,11,A,04/16/13 0:00,01:06.2
40374415,OMEN JAPANESE CUISINE,1,113,THOMPSON STREET,10012,2129258923,49,04/16/13 0:00,D,10H,11,A,04/16/13 0:00,01:06.2
40369495,DAN TEMPURA,1,2018,BROADWAY,10023,2128775255,49,08/1/13 0:00,U,02G,12,A,08/1/13 0:00,01:06.2
40368897,HATSUHANA RESTAURANT,1,17,EAST   48 STREET                                  ,10017,2123553345,49,03/7/13 0:00,D,10D,7,A,03/7/13 0:00,01:06.2
40368897,HATSUHANA RESTAURANT,1,17,EAST   48 STREET                                  ,10017,2123553345,49,03/7/13 0:00,D,10E,7,A,03/7/13 0:00,01:06.2
40369097,NADA-SUSHI,1,135,EAST   50 STREET,10022,2128382537,49,02/27/13 0:00,D,08A,11,A,02/27/13 0:00,01:06.2
40369495,DAN TEMPURA,1,2018,BROADWAY,10023,2128775255,49,08/1/13 0:00,U,04L,12,A,08/1/13 0:00,01:06.2
40372787,SHABU-SHABU 70 RESTAURANT,1,314,EAST   70 STREET                                  ,10021,2128615635,49,07/2/13 0:00,U,06C,19,B,07/2/13 0:00,01:06.2
40372787,SHABU-SHABU 70 RESTAURANT,1,314,EAST   70 STREET                                  ,10021,2128615635,49,07/2/13 0:00,U,10F,19,B,07/2/13 0:00,01:06.2
40379746,RESTUARANT NIPPON,1,155,EAST   52 STREET                                  ,10022,2126885941,49,05/29/13 0:00,U,02G,7,A,05/29/13 0:00,01:06.2
40372560,KODAMA SUSHI,1,301,WEST   45 STREET,10036,2125828065,49,04/2/13 0:00,D,02B,11,A,04/2/13 0:00,01:06.2
40381420,VILLAGE YOKOCHO,1,6,STUYVESANT STREET,10003,2125983041,49,07/31/13 0:00,F,04J,62,Z,07/31/13 0:00,01:06.2
40372560,KODAMA SUSHI,1,301,WEST   45 STREET,10036,2125828065,49,04/2/13 0:00,D,10B,11,A,04/2/13 0:00,01:06.2
40372787,SHABU-SHABU 70 RESTAURANT,1,314,EAST   70 STREET                                  ,10021,2128615635,49,07/2/13 0:00,U,04L,19,B,07/2/13 0:00,01:06.2
40375403,SAPPORO EAST,1,164,FIRST AVENUE                                      ,10009,2122601330,49,04/9/13 0:00,U,04H,27,B,04/9/13 0:00,01:06.2
40373318,SOUEN RESTAURANT,1,210,6 AVENUE,10014,2128077421,49,08/19/13 0:00,D,10B,7,A,08/19/13 0:00,01:06.2
40372787,SHABU-SHABU 70 RESTAURANT,1,314,EAST   70 STREET                                  ,10021,2128615635,49,07/2/13 0:00,U,08A,19,B,07/2/13 0:00,01:06.2
40373318,SOUEN RESTAURANT,1,210,6 AVENUE,10014,2128077421,49,08/19/13 0:00,D,06A,7,A,08/19/13 0:00,01:06.2
40384757,MISHIMA RESTAURANT,1,164,LEXINGTON AVENUE,10016,2125329596,49,04/4/13 0:00,D,10F,12,A,04/4/13 0:00,01:06.2
40385606,SUSHIDEN,1,19,EAST 49 STREET,10017,2127582700,49,06/4/13 0:00,F,06E,40,C,06/4/13 0:00,01:06.2
40375403,SAPPORO EAST,1,164,FIRST AVENUE                                      ,10009,2122601330,49,04/9/13 0:00,U,02G,27,B,04/9/13 0:00,01:06.2
40379628,HASAKI RESTAURANT,1,210,EAST 9 TH STREET                                  ,10003,2124733327,49,09/11/13 0:00,D,10F,9,A,09/11/13 0:00,01:06.2
40374415,OMEN JAPANESE CUISINE,1,113,THOMPSON STREET,10012,2129258923,49,04/16/13 0:00,D,10B,11,A,04/16/13 0:00,01:06.2
40379628,HASAKI RESTAURANT,1,210,EAST 9 TH STREET                                  ,10003,2124733327,49,09/11/13 0:00,D,04H,9,A,09/11/13 0:00,01:06.2
40376944,TOMOE SHUSHI,1,172,THOMPSON STREET,10012,2127779346,49,07/12/13 0:00,O,08A,10,C,07/12/13 0:00,01:06.2
40380464,GEIDO RESTAURANT,3,331,FLATBUSH AVENUE,11217,7186368866,49,08/1/13 0:00,U,02B,22,Z,08/1/13 0:00,01:06.2
40385606,SUSHIDEN,1,19,EAST 49 STREET,10017,2127582700,49,06/4/13 0:00,F,10B,40,C,06/4/13 0:00,01:06.2
40381420,VILLAGE YOKOCHO,1,6,STUYVESANT STREET,10003,2125983041,49,07/31/13 0:00,F,02B,62,Z,07/31/13 0:00,01:06.2
40376944,TOMOE SHUSHI,1,172,THOMPSON STREET,10012,2127779346,49,07/12/13 0:00,O,04M,10,C,07/12/13 0:00,01:06.2
40388818,YAMA JAPANESE RESTAURANT',1,122,EAST   17 STREET                                  ,10003,2124750969,49,03/27/13 0:00,F,04L,36,C,03/27/13 0:00,01:06.2
40388818,YAMA JAPANESE RESTAURANT',1,122,EAST   17 STREET                                  ,10003,2124750969,49,03/27/13 0:00,F,10F,36,C,03/27/13 0:00,01:06.2
40380464,GEIDO RESTAURANT,3,331,FLATBUSH AVENUE,11217,7186368866,49,08/1/13 0:00,U,02G,22,Z,08/1/13 0:00,01:06.2
40380464,GEIDO RESTAURANT,3,331,FLATBUSH AVENUE,11217,7186368866,49,08/1/13 0:00,U,06F,22,Z,08/1/13 0:00,01:06.2
40380464,GEIDO RESTAURANT,3,331,FLATBUSH AVENUE,11217,7186368866,49,08/1/13 0:00,U,09B,22,Z,08/1/13 0:00,01:06.2
40381420,VILLAGE YOKOCHO,1,6,STUYVESANT STREET,10003,2125983041,49,07/31/13 0:00,F,02G,62,Z,07/31/13 0:00,01:06.2
40381420,VILLAGE YOKOCHO,1,6,STUYVESANT STREET,10003,2125983041,49,07/31/13 0:00,F,04N,62,Z,07/31/13 0:00,01:06.2
40381420,VILLAGE YOKOCHO,1,6,STUYVESANT STREET,10003,2125983041,49,07/31/13 0:00,F,10H,62,Z,07/31/13 0:00,01:06.2
40381420,VILLAGE YOKOCHO,1,6,STUYVESANT STREET,10003,2125983041,49,07/31/13 0:00,F,06D,62,Z,07/31/13 0:00,01:06.2
40381420,VILLAGE YOKOCHO,1,6,STUYVESANT STREET,10003,2125983041,49,07/31/13 0:00,F,06E,62,Z,07/31/13 0:00,01:06.2
40381420,VILLAGE YOKOCHO,1,6,STUYVESANT STREET,10003,2125983041,49,07/31/13 0:00,F,10B,62,Z,07/31/13 0:00,01:06.2
40385606,SUSHIDEN,1,19,EAST 49 STREET,10017,2127582700,49,06/4/13 0:00,F,02H,40,C,06/4/13 0:00,01:06.2
40386058,ARIRANG HIBACHI STEAK HOUSE,5,23A,NELSON AVENUE,10308,7189669600,49,09/5/13 0:00,D,02G,12,A,09/5/13 0:00,01:06.2
40386058,ARIRANG HIBACHI STEAK HOUSE,5,23A,NELSON AVENUE,10308,7189669600,49,09/5/13 0:00,D,10H,12,A,09/5/13 0:00,01:06.2
40381420,VILLAGE YOKOCHO,1,6,STUYVESANT STREET,10003,2125983041,49,07/31/13 0:00,F,08A,62,Z,07/31/13 0:00,01:06.2
40381420,VILLAGE YOKOCHO,1,6,STUYVESANT STREET,10003,2125983041,49,07/31/13 0:00,F,08B,62,Z,07/31/13 0:00,01:06.2
40385606,SUSHIDEN,1,19,EAST 49 STREET,10017,2127582700,49,06/4/13 0:00,F,06C,40,C,06/4/13 0:00,01:06.2
40384757,MISHIMA RESTAURANT,1,164,LEXINGTON AVENUE,10016,2125329596,49,04/4/13 0:00,D,02G,12,A,04/4/13 0:00,01:06.2
40385606,SUSHIDEN,1,19,EAST 49 STREET,10017,2127582700,49,06/4/13 0:00,F,10F,40,C,06/4/13 0:00,01:06.2
40392800,JAPONICA RESTAURANT,1,100,UNIVERSITY PLACE,10003,2122437752,49,05/14/13 0:00,D,10B,11,A,05/14/13 0:00,01:06.2
40385606,SUSHIDEN,1,19,EAST 49 STREET,10017,2127582700,49,06/4/13 0:00,F,08A,40,C,06/4/13 0:00,01:06.2
40393789,RAMEN TAKUMI,1,90,UNIVERSITY PLACE,10003,2122292752,49,02/8/13 0:00,D,02B,12,A,02/8/13 0:00,01:06.2
40391594,TAKA HASHI RESTAURANT,1,85,AVENUE A,10009,2125056524,49,08/21/12 0:00,D,06D,13,A,08/21/12 0:00,01:06.2
40391594,TAKA HASHI RESTAURANT,1,85,AVENUE A,10009,2125056524,49,08/21/12 0:00,D,06E,13,A,08/21/12 0:00,01:06.2
40391594,TAKA HASHI RESTAURANT,1,85,AVENUE A,10009,2125056524,49,08/21/12 0:00,D,10F,13,A,08/21/12 0:00,01:06.2
40388935,SAKEBAR DECIBEL,1,240,EAST    9 STREET,10003,2129792733,49,07/23/13 0:00,U,04L,13,A,07/23/13 0:00,01:06.2
40388818,YAMA JAPANESE RESTAURANT',1,122,EAST   17 STREET                                  ,10003,2124750969,49,03/27/13 0:00,F,06C,36,C,03/27/13 0:00,01:06.2
40394560,MARUMI,1,546,LA GUARDIA PLACE,10012,2129797055,49,09/5/13 0:00,U,06F,23,Z,09/5/13 0:00,01:06.2
40388818,YAMA JAPANESE RESTAURANT',1,122,EAST   17 STREET                                  ,10003,2124750969,49,03/27/13 0:00,F,02G,36,C,03/27/13 0:00,01:06.2
40388818,YAMA JAPANESE RESTAURANT',1,122,EAST   17 STREET                                  ,10003,2124750969,49,03/27/13 0:00,F,08A,36,C,03/27/13 0:00,01:06.2
40388935,SAKEBAR DECIBEL,1,240,EAST    9 STREET,10003,2129792733,49,07/23/13 0:00,U,02G,13,A,07/23/13 0:00,01:06.2
40391913,THE NIPPON CLUB,1,145,WEST   57 STREET,10019,2125812223,49,03/13/13 0:00,D,06C,9,A,03/13/13 0:00,01:06.2
40388818,YAMA JAPANESE RESTAURANT',1,122,EAST   17 STREET                                  ,10003,2124750969,49,03/27/13 0:00,F,04C,36,C,03/27/13 0:00,01:06.2
40393789,RAMEN TAKUMI,1,90,UNIVERSITY PLACE,10003,2122292752,49,02/8/13 0:00,D,06D,12,A,02/8/13 0:00,01:06.2
40391913,THE NIPPON CLUB,1,145,WEST   57 STREET,10019,2125812223,49,03/13/13 0:00,D,10F,9,A,03/13/13 0:00,01:06.2
40392800,JAPONICA RESTAURANT,1,100,UNIVERSITY PLACE,10003,2122437752,49,05/14/13 0:00,D,02G,11,A,05/14/13 0:00,01:06.2
