"CAMIS","DBA","BORO","BUILDING","STREET","ZIPCODE","PHONE","CUISINECODE","INSPDATE","ACTION","VIOLCODE","SCORE","CURRENTGRADE","GRADEDATE","RECORDDATE"
"40356018","RIVIERA CATERER","3","2780","STILLWELL AVENUE","11224","7183723031","03","2013-06-05 00:00:00","D","10B","7","A","2013-06-05 00:00:00","2013-09-13 01:01:06.177000000"
"40356151","BRUNOS ON THE BOULEVARD","4","88-25","ASTORIA BOULEVARD","11369","7183350505","03","2013-03-02 00:00:00","D","06C","7","A","2013-03-02 00:00:00","2013-09-13 01:01:06.177000000"
"40356442","KOSHER ISLAND","5","2206","VICTORY BOULEVARD","10314","7186985800","50","2013-04-04 00:00:00","D","06D","12","A","2013-04-04 00:00:00","2013-09-13 01:01:06.177000000"
"40356731","TASTE THE TROPICS ICE CREAM","3","1839","NOSTRAND AVENUE","11226","7188560821","43","2013-07-10 00:00:00","D","06C","8","A","2013-07-10 00:00:00","2013-09-13 01:01:06.177000000"
"40356731","TASTE THE TROPICS ICE CREAM","3","1839","NOSTRAND AVENUE","11226","7188560821","43","2013-07-10 00:00:00","D","10B","8","A","2013-07-10 00:00:00","2013-09-13 01:01:06.177000000"
"40359705","NATHAN'S FAMOUS","3","1310","SURF AVENUE","11224","7183332202","41","2013-06-17 00:00:00","D","10F","9","A","2013-06-17 00:00:00","2013-09-13 01:01:06.177000000"
"40363098","DUNKIN' DONUTS","3","56","COURT STREET","11201","7186252068","29","2013-01-08 00:00:00","D","10B","11","A","2013-01-08 00:00:00","2013-09-13 01:01:06.177000000"
"40363834","CARVEL ICE CREAM","5","1111","HYLAN BOULEVARD","10305","7188167807","43","2013-02-26 00:00:00","D","10B","5","A","2013-02-26 00:00:00","2013-09-13 01:01:06.177000000"
"40363905","LUCKY STAR CHINESE RESTAURANT","1","2200","AMSTERDAM AVENUE","10032","2125680689","20","2013-04-24 00:00:00","D","04L","13","A","2013-04-24 00:00:00","2013-09-13 01:01:06.177000000"
"40364220","KOSHER BAGEL HOLE","3","1423","AVENUE J","11230","7182584150","50","2012-12-06 00:00:00","D","06C","9","A","2012-12-06 00:00:00","2013-09-13 01:01:06.177000000"
"40364296","HAPPY GARDEN","2","277","EAST KINGSBRIDGE ROAD","10458","7182955588","20","2013-03-19 00:00:00","D","06C","10","A","2013-03-19 00:00:00","2013-09-13 01:01:06.177000000"
"40364335","PETER LUGER STEAKHOUSE","3","178","BROADWAY","11211","7183877400","78","2013-03-26 00:00:00","U","10B","3","A","2013-03-26 00:00:00","2013-09-13 01:01:06.177000000"
"40364355","PALM RESTAURANT","1","837","2 AVENUE","10017","2126872953","03","2013-02-26 00:00:00","D","10F","11","A","2013-02-26 00:00:00","2013-09-13 01:01:06.177000000"
"40364362","21 CLUB","1","21","WEST   52 STREET","10019","2125827200","03","2013-08-13 00:00:00","U","02G","24","Z","2013-08-13 00:00:00","2013-09-13 01:01:06.177000000"
"40364362","21 CLUB","1","21","WEST   52 STREET","10019","2125827200","03","2013-08-13 00:00:00","U","06D","24","Z","2013-08-13 00:00:00","2013-09-13 01:01:06.177000000"
"40364373","ISLE OF CAPRI RESTURANT","1","1028      ","3 AVENUE                                          ","10065","2127581902","48","2013-05-03 00:00:00","D","10B","10","A","2013-05-03 00:00:00","2013-09-13 01:01:06.177000000"
"40364576","TOUT VA BIEN","1","311","WEST 51 STREET","10019","2122650190","35","2013-07-17 00:00:00","F","08A","36","C","2013-07-17 00:00:00","2013-09-13 01:01:06.177000000"
"40364668","MARCHIS RESTAURANT","1","251","EAST 31 STREET","10016","2126792494","48","2013-06-19 00:00:00","F","06D","32","C","2013-06-19 00:00:00","2013-09-13 01:01:06.177000000"
"40364715","OLD HOMESTEAD","1","56","9 AVENUE","10011","2122429040","03","2013-06-10 00:00:00","D","06D","12","A","2013-06-10 00:00:00","2013-09-13 01:01:06.177000000"
"40364858","DOUGLASTON CLUB","4","600       ","WEST DRIVE                                        ","11363","7182293900","03","2013-06-13 00:00:00","D","08A","13","A","2013-06-13 00:00:00","2013-09-13 01:01:06.177000000"
